cluster,feature,factor_1,factor_2
4,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,0.0,0.0
4,inflation_consumer_prices_annual_percent,-0.13843164167362418,0.017885229082022724
4,net_investment_in_nonfinancial_assets_percent_of_gdp,0.4386004152703924,-0.4081622055735746
4,taxes_on_goods_and_services_percent_of_revenue,0.6402311812674927,-0.27251076265901136
4,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,0.28854232925794016,-0.3848289023291339
4,goods_and_services_expense_percent_of_expense,0.49437390702711576,0.2854083472195968
4,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,-0.6072945050951801,-0.06524579749339295
4,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,-0.7417173660892281,0.10151998502187906
4,exports_of_goods_and_services_current_usd,-0.9801871993334833,0.13638034180732406
4,exports_of_goods_and_services_constant_2015_usd,-0.9655363384601562,0.1852265893611605
4,exports_of_goods_and_services_annual_percent_growth,0.153550288045636,0.07415629613453449
4,exports_of_goods_and_services_percent_of_gdp,0.006943932530017342,-0.04960063877097863
4,imports_of_goods_and_services_current_usd,-0.9864170299256009,0.15929557392271101
4,imports_of_goods_and_services_constant_2015_usd,-0.9698025737251856,0.1952169009324139
4,imports_of_goods_and_services_annual_percent_growth,0.06848330921261436,0.4280960356639567
4,imports_of_goods_and_services_percent_of_gdp,0.0022274985678933314,0.005195118125529061
4,external_balance_on_goods_and_services_percent_of_gdp,-0.027044843641999005,-0.1320917118745549
4,services_value_added_per_worker_constant_2015_usd,-0.33316132935776066,-0.3898435032685583
4,services_value_added_current_usd,-0.8268299559044777,0.12001391212112453
4,services_value_added_constant_2015_usd,-0.9226139519815105,0.13138165105267274
4,services_value_added_annual_percent_growth,0.19759727518037945,0.16624099662992012
4,services_value_added_percent_of_gdp,0.12629681017513977,-0.2164104721560744
4,inflation_gdp_deflator_annual_percent,0.12388804209673066,0.0417769281640448
4,inflation_gdp_deflator_linked_series_annual_percent,0.13226144011996852,0.046805047932301336
4,foreign_direct_investment_net_bop_percent_of_gdp,-0.2541128305400756,-0.1292018769478585
