country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,factor_1,factor_2
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2022,-0.0957827266671396,-0.3731945280900644
Croatia,HRV,Europe & Central Asia,High income,2022,-0.13854226426874217,-0.28329233952988186
Cuba,CUB,Latin America & Caribbean,Upper middle income,2022,-0.1350172179716703,-0.3704702838249053
Curacao,CUW,Latin America & Caribbean,High income,2022,-0.13219476982981276,-0.4118443028613753
Cyprus,CYP,Europe & Central Asia,High income,2022,-0.1383349285344186,-0.29478045929577523
Czechia,CZE,Europe & Central Asia,High income,2022,-0.1464519566286181,0.3080857205430281
Denmark,DNK,Europe & Central Asia,High income,2022,-0.1636984432555481,0.48252445093632773
Djibouti,DJI,Middle East & North Africa,Lower middle income,2022,-0.13036419146194425,-0.4146593768724679
Dominica,DMA,Latin America & Caribbean,Upper middle income,2022,-0.13187680137160043,-0.4207636095537991
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2022,-0.1316357454458442,-0.3321333528684685
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2022,-0.13734297190614506,-0.3116558518089788
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2022,-0.13892975987760042,-0.13390625302504702
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2022,-0.13450363033589935,-0.3894778426367798
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2022,-0.1265939022269849,-0.37821718394159554
Eritrea,ERI,Sub-Saharan Africa,Low income,2022,-0.13373680331073648,-0.3688914758000224
Estonia,EST,Europe & Central Asia,High income,2022,-0.13741712061196382,-0.3154025532123343
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2022,-0.13278283347717976,-0.42584349310345654
Ethiopia,ETH,Sub-Saharan Africa,Low income,2022,-0.1332246976111661,-0.38112413764766734
Faroe Islands,FRO,Europe & Central Asia,High income,2022,-0.13348765360411174,-0.38084265163145764
Fiji,FJI,East Asia & Pacific,Upper middle income,2022,-0.13186635540023572,-0.41571933724126003
Finland,FIN,Europe & Central Asia,High income,2022,-0.15125206676923048,0.044003845564868235
France,FRA,Europe & Central Asia,High income,2022,-0.2771777919446887,3.3466674810850603
French Polynesia,PYF,East Asia & Pacific,High income,2022,-0.13340119486621713,-0.38175898718217643
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2022,-0.11665793720714812,-0.3810593871867631
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2022,-0.13244586435271524,-0.43974483268221726
Georgia,GEO,Europe & Central Asia,Upper middle income,2022,-0.13445215026027943,-0.3879360171695345
Germany,DEU,Europe & Central Asia,High income,2022,-0.362579189429156,5.592166271507718
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2022,-0.1356571792315077,-0.3466870811388811
Gibraltar,GIB,Europe & Central Asia,High income,2022,-0.1337429843185396,-0.36875286992781425
Greece,GRC,Europe & Central Asia,High income,2022,-0.14813985737937913,-0.03401697611258214
Greenland,GRL,Europe & Central Asia,High income,2022,-0.1347237568996899,-0.3828672384449352
Grenada,GRD,Latin America & Caribbean,Upper middle income,2022,-0.1317161547279933,-0.4206110798651365
Guam,GUM,East Asia & Pacific,High income,2022,-0.13471207549120365,-0.3840989693726495
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2022,-0.13542986699738171,-0.347072286909475
Guinea,GIN,Sub-Saharan Africa,Lower middle income,2022,0.03325562342096573,-0.4152545293105121
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2022,-0.13163967487682163,-0.43852451925663255
Guyana,GUY,Latin America & Caribbean,High income,2022,-0.1325392922618451,-0.393965757743995
Haiti,HTI,Latin America & Caribbean,Lower middle income,2022,-0.1318745330864964,-0.4308940783973273
Honduras,HND,Latin America & Caribbean,Lower middle income,2022,-0.1339189674467649,-0.3861106275818192
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2022,-0.21438050217474633,2.1224906488359467
Hungary,HUN,Europe & Central Asia,High income,2022,0.004085014848618406,0.12168838678492622
Iceland,ISL,Europe & Central Asia,High income,2022,-0.1294716586437675,-0.38444121667557096
India,IND,South Asia,Lower middle income,2022,-0.09479434146898948,2.3657074268012814
Indonesia,IDN,East Asia & Pacific,Upper middle income,2022,8.271308948979785,0.26031048204206403
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2022,8.305606363120175,-0.6130985655365668
Iraq,IRQ,Middle East & North Africa,Upper middle income,2022,0.16200265454807028,-0.12768205730537271
Ireland,IRL,Europe & Central Asia,High income,2022,-0.2255618494085153,1.9926831643616891
Isle of Man,IMN,Europe & Central Asia,High income,2022,-0.13393583614665583,-0.36806154305157424
Israel,ISR,Middle East & North Africa,High income,2022,-0.15281155233975482,0.12318961527614765
Italy,ITA,Europe & Central Asia,High income,2022,-0.2321670778959866,2.1780932319790005
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2022,-0.13239934733974018,-0.40158396776509897
Japan,JPN,East Asia & Pacific,High income,2022,0.09534289570856092,3.18996502852455
Jordan,JOR,Middle East & North Africa,Lower middle income,2022,-0.13479267516784033,-0.35244582378664696
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2022,-0.10956378700292332,-0.16020136521900485
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2022,-0.12753048582587653,-0.35882376025468005
Kiribati,KIR,East Asia & Pacific,Lower middle income,2022,-0.13284482579799256,-0.43779831889560256
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,2022,-0.1337429843185396,-0.36875286992781425
"Korea, Rep.",KOR,East Asia & Pacific,High income,2022,2.513295871735458,2.234499175904231
Kosovo,XKX,Europe & Central Asia,Upper middle income,2022,-0.1333558034836478,-0.41738579777812385
Kuwait,KWT,Middle East & North Africa,High income,2022,-0.1444888551264811,-0.13257460836377305
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2022,-0.13133224605180444,-0.4196792220425362
