cluster,n_factors,feature,factor,loading
1,6,services_value_added_annual_percent_growth,3,0.05521454358483063
1,6,services_value_added_annual_percent_growth,4,-0.019152270302089297
1,6,services_value_added_annual_percent_growth,5,0.21593281585215524
1,6,services_value_added_annual_percent_growth,6,0.17111570535300555
1,6,services_value_added_constant_lcu,1,-0.01397121840860716
1,6,services_value_added_constant_lcu,2,0.04544535355386364
1,6,services_value_added_constant_lcu,3,-0.007138975607448839
1,6,services_value_added_constant_lcu,4,0.028600004568543252
1,6,services_value_added_constant_lcu,5,-0.00011707385315826437
1,6,services_value_added_constant_lcu,6,-0.00784500398522085
1,6,services_value_added_percent_of_gdp,1,-0.20662612607225933
1,6,services_value_added_percent_of_gdp,2,0.05825841080458901
1,6,services_value_added_percent_of_gdp,3,0.0645154148051118
1,6,services_value_added_percent_of_gdp,4,-0.1351106797226399
1,6,services_value_added_percent_of_gdp,5,0.06462033710623118
1,6,services_value_added_percent_of_gdp,6,-0.01373238399295835
1,6,inflation_gdp_deflator_annual_percent,1,1.4032037403300706
1,6,inflation_gdp_deflator_annual_percent,2,0.01685643544309516
1,6,inflation_gdp_deflator_annual_percent,3,-0.02443645165504432
1,6,inflation_gdp_deflator_annual_percent,4,-0.005467869193439306
1,6,inflation_gdp_deflator_annual_percent,5,-0.0814751740259283
1,6,inflation_gdp_deflator_annual_percent,6,0.016463078336679697
1,6,inflation_gdp_deflator_linked_series_annual_percent,1,1.4029763161997448
1,6,inflation_gdp_deflator_linked_series_annual_percent,2,0.016853703437712916
1,6,inflation_gdp_deflator_linked_series_annual_percent,3,-0.02443249111916049
1,6,inflation_gdp_deflator_linked_series_annual_percent,4,-0.005466982988991335
1,6,inflation_gdp_deflator_linked_series_annual_percent,5,-0.0814619689438269
1,6,inflation_gdp_deflator_linked_series_annual_percent,6,0.016460410084617894
2,6,trade_in_services_percent_of_gdp,1,-0.01107779930385353
2,6,trade_in_services_percent_of_gdp,2,-0.05960546311939138
2,6,trade_in_services_percent_of_gdp,3,0.0741046245819016
2,6,trade_in_services_percent_of_gdp,4,-0.13252733732942804
2,6,trade_in_services_percent_of_gdp,5,0.33525175510228816
2,6,trade_in_services_percent_of_gdp,6,0.9103706252595838
2,6,imports_of_goods_and_services_bop_current_usd,1,0.020973014321350847
2,6,imports_of_goods_and_services_bop_current_usd,2,0.05390320939470876
2,6,imports_of_goods_and_services_bop_current_usd,3,-0.05653013676319891
2,6,imports_of_goods_and_services_bop_current_usd,4,1.3245457462464945
2,6,imports_of_goods_and_services_bop_current_usd,5,0.04012040974786945
2,6,imports_of_goods_and_services_bop_current_usd,6,0.009965640063860363
2,6,insurance_and_financial_services_percent_of_service_imports_bop,1,-0.0062015044431713885
2,6,insurance_and_financial_services_percent_of_service_imports_bop,2,-0.12132111480836373
2,6,insurance_and_financial_services_percent_of_service_imports_bop,3,0.06356408005680231
2,6,insurance_and_financial_services_percent_of_service_imports_bop,4,-0.19381656081743961
