country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors,exact_log_likelihood,regularized_log_likelihood
Niger,NER,Sub-Saharan Africa,Low income,2022,1,6,-12288.89376930473,40.669503612056815
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2022,1,6,-5847.31251779317,4.214465021365328
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2022,1,6,-260.3023716758514,7.231356645017506
Rwanda,RWA,Sub-Saharan Africa,Low income,2022,1,6,-45.60366921632105,42.38153751957046
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2022,1,6,-4236.409765623244,32.48233004416855
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2022,1,6,-7253.038172630805,42.80213570458321
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2022,1,6,-25789.435738813336,38.3462403782703
Sudan,SDN,Sub-Saharan Africa,Low income,2022,1,6,-721794.8903968793,28.37180320080853
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2022,1,6,-665106.1485424759,-1.2784613337677584
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2022,1,6,-5562.373514937497,9.547042903646819
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2022,1,6,-14805.276578402496,32.64603514822234
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2022,1,6,-2274.6717054652845,27.589530773256005
Togo,TGO,Sub-Saharan Africa,Low income,2022,1,6,-7094.497701777254,34.27022835720137
Uganda,UGA,Sub-Saharan Africa,Low income,2022,1,6,-10690.5866244707,-21.144399783119177
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2022,1,6,-8592.723062460236,27.914151170683926
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2022,1,6,-721795.3328330258,27.928114551706738
Australia,AUS,East Asia & Pacific,High income,2022,2,6,-inf,-0.9411847171936607
Austria,AUT,Europe & Central Asia,High income,2022,2,6,-inf,24.643266345678605
"Bahamas, The",BHS,Latin America & Caribbean,High income,2022,2,6,-inf,-10.449450134530487
Bahrain,BHR,Middle East & North Africa,High income,2022,2,6,-inf,10.502487983456366
Barbados,BRB,Latin America & Caribbean,High income,2022,2,6,-inf,12.281268129162708
Belgium,BEL,Europe & Central Asia,High income,2022,2,6,-inf,16.68945587947406
Brunei Darussalam,BRN,East Asia & Pacific,High income,2022,2,6,-inf,-0.2468299013539479
