specification_id,scope,cluster,eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
9,cluster_1,1,36,2.7754176457693123e-16,3.871366562806994e-16,False
9,cluster_1,1,37,7.445737941280592e-17,2.258158049792227e-16,False
9,cluster_1,1,38,-1.5950827343102192e-16,8.891289401037522e-17,False
9,cluster_1,1,39,-2.9409315604373164e-16,-4.699851081527278e-17,False
9,cluster_1,1,40,-4.3730921069699617e-16,-1.668239993497303e-16,False
9,cluster_1,1,41,-6.623736522523521e-16,-2.9183458395845444e-16,False
9,cluster_1,1,42,-9.720661195797272e-16,-4.661948665078858e-16,False
9,cluster_1,1,43,-2.7943815680167177e-15,-6.74250746146051e-16,False
9,cluster_2,2,1,11.668914139947184,3.8926800936206942,True
9,cluster_2,2,2,5.650248766175057,3.4393552086151082,True
9,cluster_2,2,3,3.7951995319967895,3.139742937078064,True
9,cluster_2,2,4,3.4310927042643193,2.8949155882368958,True
9,cluster_2,2,5,3.154975658314163,2.6748096587685724,True
9,cluster_2,2,6,2.492546313650653,2.483098568934991,True
9,cluster_2,2,7,2.0400482893846488,2.307615286469858,False
9,cluster_2,2,8,1.7423523494943673,2.1537395894876723,False
9,cluster_2,2,9,1.3536057664450858,2.015999613734766,False
9,cluster_2,2,10,1.1323301592592236,1.8834745928029906,False
9,cluster_2,2,11,1.0760847297693437,1.7539150294921042,False
9,cluster_2,2,12,0.798855020060962,1.630188535893504,False
9,cluster_2,2,13,0.7374546619255857,1.5158994321815713,False
9,cluster_2,2,14,0.6880565967322141,1.4101487656652187,False
9,cluster_2,2,15,0.5618042818117718,1.3143449102988207,False
9,cluster_2,2,16,0.41640933331388924,1.224625393966273,False
9,cluster_2,2,17,0.4052450803506013,1.1330474802940886,False
9,cluster_2,2,18,0.36607702771500716,1.0392953893281962,False
9,cluster_2,2,19,0.27251808594884713,0.9579912207057488,False
9,cluster_2,2,20,0.2210526327931005,0.8810231856531799,False
9,cluster_2,2,21,0.20424168691361858,0.8175140054941852,False
9,cluster_2,2,22,0.15923307345598442,0.7404335393720558,False
9,cluster_2,2,23,0.1471790181580827,0.676825754277203,False
9,cluster_2,2,24,0.12061722487692182,0.6186346865419834,False
9,cluster_2,2,25,0.07333003519830521,0.5545821168586929,False
9,cluster_2,2,26,0.06902041971048922,0.5002093000784088,False
